DisNo.,Disaster Subgroup,Disaster Type,Disaster Subtype,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Total Damage ('000 US$)
2003-0786-USA,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,San Bernardino district (California province),,,,607,Km2,,,2003,10,21,2003,11,4,4,40,,,40,3500000
2003-0827-USA,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"Beaumont, Port Arthur areas (Jefferson district, Texas province), Sugar Land area (Fort Bend district, Texas province), Smith district (Mississipi province), Dallas, Harris districts (Texas province), Los Angeles district (California province), Alabama, Arkansas, Florida, Georgia, Louisiana, Maryland, Missouri, North Carolina, Oklahoma, South Carolina, Tennesse, Virginia, West Virginia provinces",,,,,Kph,,,2003,12,15,2003,12,16,2,54,,,54,
2003-0829-USA,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"Alabama, Illinois, Indiana, Louisiana, Michigan, Missouri, Mississippi, New York, Tennessee,Texas, Pennsylvania, Nebraska, Wisconsin provinces",,Hail|Snow/ice,,,Kph,,,2003,4,4,2003,4,8,13,,,,,2100000
2003-0830-USA,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,"Arkansas, Texas provinces",,Transport accident,,,Kph,,,2003,2,26,2003,2,26,14,,,,,
2004-0031-CAN,Meteorological,Storm,Blizzard/Winter storm,,CAN,Canada,Northern America,Americas,Quebec province,,Cold wave,,,Kph,,,2004,1,,2004,1,,,,,,,100000
2004-0031-USA,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,"North Carolina, South Carolina, Iowa, Missouri, Ohio, Maryland, Nebraska, New York, Virginia, Minnesota, Indiana, Illinois, Pennsylvania, Oklahoma, Georgia, Kansas, New Jersey, West Virginia, Maine provinces",,Cold wave|Transport accident,,,Kph,,,2004,1,15,2004,1,29,56,,,,,60000
2004-0074-CAN,Meteorological,Storm,Blizzard/Winter storm,,CAN,Canada,Northern America,Americas,"Nova Scotia, New Brunswick, Prince Edward Island provinces",,,,120,Kph,,,2004,2,19,2004,2,19,,,,,,
2004-0121-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Arkansas, Louisiana, North Carolina, Oklahoma, South Carolina, Texas, Virginia, Kansas, Missouri, Mississippi provinces",,Flood|Transport accident,,,Kph,,,2004,3,4,2004,3,7,9,,1404,345,1749,300000
2004-0146-CAN,Hydrological,Flood,Riverine flood,,CAN,Canada,Northern America,Americas,"Winnipeg (Division No. 11 district, Manitoba province) Selkirk, St Clements, Breezy Point (Division No.13 district, Manitoba province)",Rain and snowmelt,,,,Km2,,,2004,3,28,2004,4,11,,,1000,,1000,
2004-0146-USA,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"Antigo area (Langlade district, Wisconsin province), Pembina, Walsh districts (North Dakota province)","Melting sow, heavy rain",,,,Km2,,,2004,3,28,2004,4,11,,,306,,306,4500
2004-0178-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,"Leimapokpam, Thiyam, Lourembam, Nambol Laitonjam villages (Bishnupur district, Manipur province), Na-Orem, Pukhrambam, Sanjenbam villages (West Imphal district, Manipur province), Oinam, Khangabok villages (Thoubal district, Manipur province)",Incessant rains,,,,Km2,,,2004,4,10,2004,4,14,,,,5000,5000,
2004-0196-USA,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,"Los Angeles, Riverside, San Diego, Santa Barbara districts (California province)",,Heat wave,,66,Km2,,,2004,5,2,2004,5,4,,,15000,,15000,
2004-0245-USA,Meteorological,Storm,Hail,,USA,United States of America,Northern America,Americas,"Morgan, Sangamon, Scott districts (Illinois province), Clark, Floyd, Washington districts (Indiana province), Adair, Appanoose, Benton, Clay, Dallas, Grundy, Humboldt, Jones, Linn, Marshall, Pocahontas, Story, Warren districts (Iowa province), Jackson, Linn, Shawnee, Republic districts (Kansas province), Estill, Fayette, Henderson, Henry, Magoffin, Martin, Powell, Pulaski districts (Kentucky province), Washington district (Maryland province), Sanilac, St. Clair, Tuscola districts (Michigan province), Gentry, Holt, Linn, Livingston, Macon, St. Clair districts (Missouri province), Adams, Cass, Clay, Custer, Franklin, Fillmore, Furnas, Gage, Harlan, Jefferson, Lancaster, Nuckolls, Otoe, Saline, Thayer, Webster, York districts (Nebraska province), Broome, Delaware districts (New York province), Athens, Brown, Fayette, Perry, Ross districts (Ohio province), Caddo, Noble, Osage, Pawnee, Tillman districts (Oklahoma province), Crawford district (Pennsylvania province), Hawkins district (Tennessee province), Nolan, Taylor, Val Verde districts (Texas province), Lancaster, Lee, Loudoun, Scott districts (Virginia province), Berkeley district (West Virginia province), Manitowoc, Dane, Columbia districts (Wisconsin province), North Carolina, South Carolina provinces",,Flood|Hail,,,Kph,,,2004,5,21,2004,5,27,5,37,6000,408,6445,1100000
2004-0248-USA,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"Wayne, Oakland, Macomb, Livingston districts (Michigan province)",,,,,Km2,,,2004,5,28,2004,5,28,,,4929,,4929,
2004-0249-USA,Meteorological,Storm,Lightning/Thunderstorms,,USA,United States of America,Northern America,Americas,"Geneva, Jefferson, Lauderdale, Limestone, Madison districts (Alabama province), Cross, Mississippi, Nevada districts (Arkansas province), Crawford, Jefferson, Logan, Perry, Washington districts (Illinois province), Clark, Crawford, Hamilton, Hancock, Hendricks, Jackson, Madison, Marion, Monroe, Morgan, Miami, Owen, Tippecanoe, Vanderburgh, Warrick, Washington districts (Indiana province), Buchanan, Lee, Iowa districts (Iowa province), Cloud, Harper, Marshall, Republic, Sumner districts (Kansas province), Henry, Hopkins, Jefferson, Knox, Muhlenberg, McCracken, Webster districts (Kentucky province), St. Clair district (Michigan province), Tippah district (Mississippi province), Buchanan, Clinton, DeKalb, Daviess, Harrison, Laclede, Platte, St. Louis districts (Missouri province), Holt, Lincoln districts (Nebraska province), Adams district (Ohio province), Blaine, Canadian, Creek, Custer, Kingfisher, Mayes, Oklahoma, Tulsa, Wagoner districts (Oklahoma province), Brown, Edmunds, Clay districts (South Dakota province), Bedford, Bradley, Lincoln, Franklin, Giles, Grundy, Hardin, Moore districts (Tennessee province), Cottle, Houston, Tarrant districts (Texas province), Boone, Braxton, Cabell, Jackson, Kanawha, Lewis, Logan, Mason, Morgan, Mingo, Putnam, Upshur, Wayne, Wood, Wyoming districts (West Virginia province), Louisiana province",,Flood|Hail,,,Kph,,,2004,5,29,2004,6,2,10,,1000,,1000,700000
2004-0298-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,"Darbhanga, Madhubani, Sitamarhi, Banka, Bhagalpur, Muzaffarpur, Sheohar districts (Bihar province), West Tripura, South Tripura districts (Tripura province), Kamrup, Nalbari, Darrang, Sonitpur, Dhemaji, Lakhimpur districts (Assam province), Gujarat, Jammu and Kashmir provinces",Monsoonal rain,,3470,,Km2,,,2004,6,20,2004,8,,900,,33000000,,33000000,2500000
2004-0321-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,"Wayanad, Kozhikode, Kannur, Kasaragod districts (Kerala province)",Early monsoonal rain,"Slide (land, mud, snow, rock)",,9000,Km2,,,2004,6,9,2004,6,11,45,,1000,,1000,
2004-0338-USA,Meteorological,Storm,Lightning/Thunderstorms,,USA,United States of America,Northern America,Americas,"Milam, Guadalupe, Bexar districts (Texas province), Eagle district (Colorado province), Mississippi province, Richland district (South Carolina province), Franklinton city (Washington district, Louisiana province), Bufford city (Gwinnett district, Georgia province)",,Flood,,,Kph,,,2004,6,28,2004,6,28,4,6,307,,313,170
2004-0346-CAN,Hydrological,Flood,Flash flood,,CAN,Canada,Northern America,Americas,"Ontario, Alberta, Quebec provinces",,Rain,,,Km2,,,2004,7,13,2004,7,16,,,,,,200000
2004-0348-USA,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,"Carson City district (Nevada province), Los Angeles district (California province)",,Heat wave|Storm,,68,Km2,,,2004,7,12,2004,7,16,,,200,42,242,
2004-0415-USA,Meteorological,Storm,Tropical cyclone,Charley,USA,United States of America,Northern America,Americas,"Bay, Calhoun, Escambia, Franklin, Gadsden, Gulf, Holmes, Jackson, Jefferson, Leon, Liberty, Madison, Okaloosa, Santa Rosa, Taylor, Wakulla, Walton, Washington districts (Florida province), South Carolina, North Carolina provinces",,Transport accident,,230,Kph,,,2004,8,13,2004,8,13,10,,30000,,30000,16000000
2004-0446-USA,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,"Shasta Lake area (Shasta districts, California province)",,,,4046,Km2,,,2004,8,13,2004,8,14,,5,,240,245,
2004-0448-USA,Meteorological,Storm,Tropical cyclone,Gaston,USA,United States of America,Northern America,Americas,"Richmond, Lynchburg, Chesterfield districts (Virginia province), South Carolina, North Carolina provinces",,Flood,,,Kph,,,2004,8,29,2004,8,30,7,,,,,62500
2004-0455-USA,Meteorological,Storm,Tropical cyclone,Frances,USA,United States of America,Northern America,Americas,"Martin, Palm Beach districts (Florida province), North Carolina, South Carolina, Ohio provinces",,Rain,,,Kph,,,2004,9,5,2004,9,5,47,,5000000,,5000000,11000000
2004-0462-USA,Meteorological,Storm,Tropical cyclone,Ivan,USA,United States of America,Northern America,Americas,"Alabama, Louisiana, Mississippi, Florida, Pennsylvania, Maryland, New Jersey, Ohio, North Carolina, West Virginia, Georgia, Tennessee provinces",,"Flood|Slide (land, mud, snow, rock)",,,Kph,,,2004,9,15,2004,9,16,52,,,,,18000000
2004-0473-USA,Meteorological,Storm,Tropical cyclone,Jeanne,USA,United States of America,Northern America,Americas,Florida province,,,,,Kph,,,2004,9,25,2004,9,26,6,,40000,,40000,8000000
2004-0489-IND,Hydrological,Flood,Flash flood,,IND,India,Southern Asia,Asia,"Uttar Pradesh, Himachal Pradesh provinces",Torrential rain,,,,Km2,,,2004,9,20,2004,9,22,33,,,,,
2004-0502-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,Caroline district (Virginia province),,,,,Kph,,,2004,9,8,2004,9,8,,,189,,189,2100
2004-0509-IND,Hydrological,Flood,Flash flood,,IND,India,Southern Asia,Asia,"Goalpara district (Assam province), Meghalaya, Arunachal Pradesh, West Bengal provinces",Heavy rains,"Rain|Slide (land, mud, snow, rock)",,,Km2,,,2004,10,7,2004,10,18,160,,,100000,100000,
2004-0572-USA,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"Manoa Valley area (Honolulu district, Hawaii province)",Heavy rains,,,,Km2,,,2004,10,30,2004,10,30,,,105,,105,1000
2004-0659-IND,Geophysical,Earthquake,Tsunami,,IND,India,Southern Asia,Asia,"Kancheepuram, Villupuram, Nagapattinam, Thoothukudi, Tirunelveli Kattabo, Kanniyakumari, Chennai, Thiruvallur, Cuddalore, Pudukkottai, Ramanathapuram, Sivaganga, Thanjavur districts (Tamil Nadu province), Vishakhapatnam, East Godavari, West Godavari, Krishna, Guntur, Prakasam, Nellore districts (Andhra Pradesh province), Kollam, Alappuzha, Ernakulam districts (Kerala province), Puducherry, Karaikal district (Puducherry province), Andaman and Nicobar province",Earthquake,,,9.1,Moment Magnitude,3.295,95.982,2004,12,26,2004,12,26,16389,6913,647599,,654512,1022800
2004-0675-USA,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"Pennsylvania, New Jersey provinces",,,,,Km2,,,2004,7,12,2004,7,14,1,,,,,500000
2004-0731-USA,Meteorological,Storm,Hail,,USA,United States of America,Northern America,Americas,"Arkansas, Illinois, Iowa, Indiana, Missouri, Oklahoma provinces",,Hail,,,Kph,,,2004,3,20,2004,3,21,9,14,,,14,
2004-0734-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,"Uttarakhand, Gujarat, Maharashtra, Punjab, Haryana, Rajasthan provinces",Monsoonal rain,,,,Km2,,,2004,8,1,2004,9,8,210,,100000,,100000,276000
2004-0740-USA,Meteorological,Extreme temperature,Cold wave,,USA,United States of America,Northern America,Americas,"Connecticut, Delaware, Maryland, Maine, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont provinces",,,,,°C,,,2004,1,9,2004,1,12,3,,,,,
2005-0015-USA,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"La Conchita area (Ventura district, California province), Malibu area (Los Angeles district, California province), Sacramento district (California province), Arizona, Ohio provinces","Heavy rain, heavy snow","Slide (land, mud, snow, rock)",,560,Km2,,,2005,1,7,2005,1,11,28,8,500,,508,200000
2005-0029-USA,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,"New York, Connecticut, Wisconsin, Ohio, Maryland, Massachusetts, Iowa provinces",,Cold wave,,,Kph,,,2005,1,22,2005,1,24,20,,,,,350000
2005-0090-IND,Hydrological,Mass movement (wet),Avalanche (wet),,IND,India,Southern Asia,Asia,Administrative unit not available districts (Jammu and Kashmir province),Snowstorms,,,,,,,2005,2,15,2005,2,21,250,,5000,,5000,50000
2005-0103-USA,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,Los Angeles district (California province),Heavy rains,"Rain|Slide (land, mud, snow, rock)",,,Km2,,,2005,2,17,2005,2,23,9,,150,,150,250000
2005-0191-IND,Meteorological,Storm,Storm (General),,IND,India,Southern Asia,Asia,"Barddhaman, North 24 Parganas, South 24 Parganas districts (West Bengal province)",,Hail|Rain,,,Kph,,,2005,3,23,2005,3,24,18,50,,7500,7550,
2005-0203-USA,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"New Jersey, Pennsylvania, New York, Maine provinces","Heavy rains, snowmelt",,,130500,Km2,,,2005,4,1,2005,4,6,2,,11000,,11000,30000
2005-0219-USA,Meteorological,Storm,Lightning/Thunderstorms,,USA,United States of America,Northern America,Americas,Rankin district (Mississippi province),,Flood,,,Kph,,,2005,4,6,2005,4,8,,8,45,51,104,350000
2005-0286-USA,Hydrological,Flood,Flash flood,,USA,United States of America,Northern America,Americas,Idaho province,,Rain,,,Km2,,,2005,5,6,2005,5,8,,,,,,5330
2005-0290-IND,Meteorological,Storm,Storm (General),,IND,India,Southern Asia,Asia,"Guntur, Krishna, Srikakulam, Karimnagar, Nalgonda districts (Andhra Pradesh province)",,,,,Kph,,,2005,5,1,2005,5,1,20,20,,,20,
2005-0291-IND,Meteorological,Storm,Storm (General),,IND,India,Southern Asia,Asia,Kolkata district (West Bengal province),,,,,Kph,,,2005,5,4,2005,5,4,11,20,,,20,
2005-0314-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,Mokokchung district (Nagaland province),Heavy rains,"Slide (land, mud, snow, rock)",,,Km2,,,2005,5,27,2005,5,27,14,12,,,12,
2005-0323-IND,Meteorological,Extreme temperature,Heat wave,,IND,India,Southern Asia,Asia,"Uttar Pradesh, Bihar, West Bengal, Orissa, Maharashtra, Andhra Pradesh provinces",,,,49,°C,,,2005,6,,2005,6,,329,,,,,
2005-0335-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,"Surat, Valsad, Navsari, Bharuch, Vadodara, Surendranagar, The Dangs, Ahmedabad, Anand, Kheda, Amreli, Bhavnagar, Junagadh, Rajkot, Narmada, Jamnagar, Gandhinagar, Sabarkantha districts (Gujarat province)",Heavy rains,,,,Km2,,,2005,6,28,2005,7,15,239,,405000,,405000,2300000
2005-0351-USA,Meteorological,Storm,Tropical cyclone,"Hurricane ""Dennis""",USA,United States of America,Northern America,Americas,"Florida, Georgia provinces",,,,,Kph,,,2005,7,10,2005,7,10,5,,,,,2230000
2005-0354-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,"Digras, Nandgavan villages (Yavatmal district, Maharashtra province)",Monsonal rains,Broken Dam/Burst bank,,,Km2,,,2005,7,9,2005,7,9,25,,,,,
2005-0361-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,"Sangla, Kalpa, Yangthang, Sumdo, Khab, Karcham, Leo, Akpa, Kharo villages (Kinnaur district, Himachal Pradesh province), Rampur Bushahr village (Shimla district, Himachal Pradesh province), Kullu, Bilaspur, Mandi districts (Himachal Pradesh)",Heavy rains,Broken Dam/Burst bank,,6530,Km2,,,2005,6,26,2005,6,29,6,,5000,,5000,23000
2005-0375-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,"Yingkiong village (Upper Siang (70051) district, Arunachal Pradesh province), Seppa village (East Kameng (70040) district, Arunachal Pradesh province), Anini village (70050 district, Arunachal Pradesh province), Dibrugarh, Sonitpur, Sibsagar, Dhemaji, Tinsukia, Karimganj, Lakhimpur, Jorhat, Morigaon, Dhuburi, Goalpara, Barpeta districts (Assam province), Bahraich, Shravasti, Banda, Ballia, Lakhimpur Kheri, Kanpur, Varanasi, Mainpuri districts (Uttar Pradesh province), Haridwar, Uttarkashi, Naini Tal, Dehran Dun districts (Uttarakhand province), Muzaffarpur, Darbhanga, Madhubani districts (Bihar province), Birbhum district (West Bengal province)",Monsoon rain,"Slide (land, mud, snow, rock)",,,Km2,,,2005,7,7,2005,7,28,70,,1904000,4000,1908000,
2005-0383-CAN,Climatological,Wildfire,Forest fire,,CAN,Canada,Northern America,Americas,Québec province,,,,4000,Km2,,,2005,7,,2005,7,,,,,,,
2005-0398-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,"Ashoknagar, Chhatarpur, Damoh, Jabalpur, Katni, Narsinghpur, Panna, Rewa, Sagar, Satna districts (Madhya Pradesh province)",Monsoonal rains,,,55740,Km2,,,2005,7,2,2005,7,15,62,,49000,,49000,
2005-0399-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,"Adilabad, Hyderabad, Karimnagar, Khammam, Mahbubnagar, Medak, Nalgonda, Nizamabad, Rangareddi, Warangal, East Godavari, Guntur, Krishna, Nellore, Prakasam, Srikakulam, Vishakhapatnam, Vizianagaram, West Godavari districts (Andhra Pradesh province)",Heavy rains,,,,Km2,,,2005,7,10,2005,7,10,12,,10000,,10000,
2005-0409-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,"Gujarat, Madhya Pradesh, Maharashtra, Goa, Orissa, Karnataka, Himachal Pradesh, Jammu and Kashmir provinces",Monsoon rain,"Broken Dam/Burst bank|Slide (land, mud, snow, rock)",12,35550,Km2,,,2005,7,24,2005,8,5,1200,55,20000000,,20000055,3330000
2005-0457-IND,Hydrological,Mass movement (wet),Landslide (wet),,IND,India,Southern Asia,Asia,"Guwahati city (Kamrup district, Assam province)",Monsoonal rain,,,,,,,2005,8,24,2005,8,25,12,20,,,20,
2005-0460-CAN,Climatological,Wildfire,Forest fire,,CAN,Canada,Northern America,Americas,Ontario province,Dry wetaher and heat wave,,,275,Km2,,,2005,8,,2005,8,,,,,,,
2005-0467-USA,Meteorological,Storm,Tropical cyclone,Katrina,USA,United States of America,Northern America,Americas,"Mobile, Bayou La Batre, Dauphin Island, Coden areas (Mobile district, Alabama province), New Orleans city (Orleans district, Louisiana province), Slidell area (St. Tammany district, Louisiana province), St. Bernard district (Louisiana province), Biloxi, Gulfport cities (Harrison district, Mississippi province), Pascagoula city (Jackson district, Mississippi province), Waveland, Bay St. Louis cities (Hancock district, Mississippi province), Georgia, Florida provinces",,Broken Dam/Burst bank|Flood,,280,Kph,,,2005,8,29,2005,9,19,1833,,500000,,500000,125000000
2005-0471-IND,Hydrological,Flood,Flash flood,,IND,India,Southern Asia,Asia,Azamgarh district (Uttar Pradesh province),Heavy rains,"Slide (land, mud, snow, rock)",,12680,Km2,,,2005,8,26,2005,8,28,27,,800000,,800000,
2005-0504-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,"Karnataka, Andhra Pradesh provinces",Monsoonal rain,Broken Dam/Burst bank,,619200,Km2,,,2005,7,23,2005,8,16,126,,100000,,100000,
2005-0530-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,Wisconsin province,,,,,Kph,,,2005,8,18,2005,8,18,,,120,81,201,
2005-0537-IND,Meteorological,Storm,Storm (General),,IND,India,Southern Asia,Asia,"Andhra Pradesh, Orissa provinces",,,,,Kph,,,2005,9,20,2005,9,20,33,,11000,50000,61000,
2005-0539-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,"Himachal Pradesh, Uttar Pradesh, Uttarakhand provinces",Monsoonal rain,"Slide (land, mud, snow, rock)",,308700,Km2,,,2005,9,16,2005,9,19,23,4,,2500,2504,
2005-0541-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,"Raj Nandgaon, Durg districts (Chhattisgarh province), Baleshwar, Bhadrak, Jajpur districts (Orissa province), Bhandara, Gondiya, Nagpur districts (Maharashtra province), Balaghat, Katni, Jabalpur, Seoni districts (Madhya Pradesh province)",,Broken Dam/Burst bank,,312900,Km2,,,2005,9,14,2005,9,20,89,,550000,,550000,420000
2005-0547-USA,Meteorological,Storm,Tropical cyclone,Rita,USA,United States of America,Northern America,Americas,"Louisiana, Texas, Mississippi provinces",,Flood,,280,Kph,,,2005,9,23,2005,10,1,10,,300000,,300000,16000000
2005-0553-CAN,Meteorological,Storm,Storm (General),,CAN,Canada,Northern America,Americas,"Montreal, Acton, Beauharnois-Salaberry, Brome-Missisquoi, La Haute-Yamaska, Marguerite-D'Youville, La Vallée-du-Richelieu, Pierre-De Saurel, Le Haut-Richelieu, Le Haut-Saint-Laurent, Les Jardins-de-Napierville, Les Maskoutains, Roussillon, Rouville, Vaudreuil-Soulanges, Longueuil, Coaticook, Le Granit, Le Haut-Saint-Francois, Les Sources, Le Val-Saint-François, Memphrémagog, Sherbrooke districts",,,,,Kph,,,2005,9,26,2005,9,29,,,300,,300,
2005-0575-IND,Geophysical,Earthquake,Ground movement,,IND,India,Southern Asia,Asia,Administrative unit not available districts (Jammu and Kashmir province),,Fire,,7.6,Moment Magnitude,34.539,73.588,2005,10,8,2005,10,8,1309,6622,,150000,156622,1000000
2005-0583-USA,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"Keene, Alstead, Stoddard, Unity, Hinsdale, Walpole areas (Cheshire district, New Hampshire), Brattleboro, Guilford areas (Windham district, Vermont province), Pittsfield area (Berkshire district, Massachusetts province), Greenfield area (Franklin district, Massachusetts province), Northbridge, Worcester, Southbridge areas (Worcester district, Massachusetts), Spring Lake area (Monmouth district, New Jersey province), Wayne, Little Falls, Pompton Lakes areas (Passaic district, New Jersey province), Oakland, Lodi, Westwood areas (Bergen district, New Jersey province), Bound Brook area (Somerset district, New Jersey province), Tolland, Windham, Hartford districts (Connecticut province)",Heavy rain,Rain,,38290,Km2,,,2005,10,8,2005,10,16,11,,3000,,3000,
2005-0585-USA,Meteorological,Storm,Tropical cyclone,"Hurricane ""Wilma""",USA,United States of America,Northern America,Americas,"Florida Keys, Naples areas (Collier district, Florida province)",,Flood|Rain,,165,Kph,,,2005,10,24,2005,10,24,4,,30000,,30000,14300000
2005-0591-CAN,Hydrological,Flood,Riverine flood,,CAN,Canada,Northern America,Americas,"Stephenville & Kippens towns (Division No. 4 district, Newfoundland and Labrador province), Reidville town (Division No. 5 district, Newfoundland and Labrador province)",Heavy rains,,,330,Km2,,,2005,9,27,2005,9,29,,,600,,600,
2005-0599-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,"East Midnapore, South 24 Parganas, Barddhaman, Nadia districts (West Bengal province), Baleshwar district (Orissa province)",Heavy rains,,,29110,Km2,,,2005,10,21,2005,10,24,19,,2000000,250000,2250000,117000
2005-0603-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,"Surat, Vadodara, Bhavnagar, Panch Mahals, Narmada districts (Gujarat province)",Heavy rains,Broken Dam/Burst bank,,53200,Km2,,,2005,9,22,2005,10,11,15,,,,,
2005-0627-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,"Salem, Namakkal, Karur, Erode, Tiruchchirappalli, Vellore, Perambalur, Nagapattinam, Kanniyakumari, Dharmapuri, Madurai, Villupuram, Chennai, Cuddalore districts (Tamil Nadu province), Karaikal district (Puducherry province), Bangalore Rural, Bangalore Urban, Mysore districts (Karnataka province), Nellore, Chittoor, Vishakhapatnam, Srikakulam, Vizianagaram, Cuddapah districts (Andhra Pradesh province), West Bengal, Orissa provinces",Monsoonal rain,,,131300,Km2,,,2005,10,23,2005,11,13,162,,2000000,,2000000,
2005-0677-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,Tamil Nadu province,Torrential rains,,,,Km2,,,2005,12,2,2005,12,3,30,,200000,,200000,
2005-0682-USA,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,"Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut, New York, New Jersey, Pennsylvania, Idaho, Michigan, Minnesota, Montana, North Dakota, Oregon, South Dakota, Washington, Wisconsin, Wyoming provinces",,,,,Kph,,,2005,12,8,2005,12,9,10,,,,,
2005-0687-USA,Meteorological,Extreme temperature,Heat wave,,USA,United States of America,Northern America,Americas,"Arizona, Nevada, Oklahoma, Utah, Missouri, Kentucky, Ohio, Mississippi provinces",,,,47,°C,,,2005,7,4,2005,7,30,33,31,,,31,
2005-0701-IND,Meteorological,Extreme temperature,Severe winter conditions,,IND,India,Southern Asia,Asia,"Uttar Pradesh, Punjab, Haryana, Himachal Pradesh, Delhi, Bihar, Rajasthan, Jammu and Kashmir provinces",,,,2,°C,,,2005,12,,2006,1,,180,,,,,
2005-0716-USA,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"Reno area (Washoe district, Nevada province), Truckee area (Nevada district, California province), Napa, Sonoma, Mendocino, Marin, Solano, Los Angeles districts (California), Carson City district (Nevada province)",Storm,"Rain|Slide (land, mud, snow, rock)",,140500,Km2,,,2005,12,31,2006,1,18,3,,3600,,3600,245000
2005-0724-USA,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,"Texas, Oklahoma provinces",,,,,Km2,,,2005,12,27,2006,1,4,5,,,1410,1410,100000
2005-0728-CAN,Hydrological,Flood,Riverine flood,,CAN,Canada,Northern America,Americas,"Black Diamond, High River, Otokoks, Turner Valley towns (Division No. 6 district, Alberta province), Pincher Creek city (Division No. 3 district, Alberta province), Lethbridge city (Division No. 2 district, Alberta province), Siksika Reserve, Drumheller cities (Division No. 5 district, Alberta province), Red Deer city (Division No. 8 district, Alberta province)",Heavy rains,,,86680,Km2,,,2005,6,7,2005,7,1,4,,5000,,5000,357000
2005-0746-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,"Himachal Pradesh, Punjab, Jammu and Kashmir, Haryana provinces",Mosnoon rain,,,,Km2,,,2005,7,5,2005,8,14,10,,2000,,2000,
2006-0128-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Missouri, Arkansas, Illinois, Indiana, Kansas, Oklahoma provinces",,Flood,,202,Kph,,,2006,3,11,2006,3,13,10,42,,,42,1200000
2006-0161-USA,Meteorological,Storm,Hail,,USA,United States of America,Northern America,Americas,"Tennessee, Illinois, Arkansas, Indiana, Oklahoma, Missouri, Kentucky, Iowa provinces",,Hail,,,Kph,,,2006,4,2,2006,4,3,28,36,3600,,3636,600000
2006-0171-USA,Meteorological,Storm,Hail,,USA,United States of America,Northern America,Americas,"Sumner, Warren districts (Tennessee province), Alabama, Georgia, Indiana, Kansas, Kentucky, Ohio provinces",,Hail,,,Kph,,,2006,4,6,2006,4,8,12,160,465,,625,1600000
